iteration,elapsed_ms,energy,max_violation,avg_violation,min_phi,rms_offset,rms_normal,rms_landmark,rms_guide,max_control,num_violating
63,860.5294,0.169573321,0,0,0.030595433,0.0852488801,0,0.0178393945,0,40,0
64,862.0347,0.168643275,0,0,0.0263771992,0.0852229819,0,0.0176979937,0,40,0
65,863.5463,0.167733729,0,0,0.0300870482,0.085196957,0,0.0176906344,0,40,0
66,864.9408,0.166815587,0,0,0.0270391684,0.0851721019,0,0.0176045671,0,40,0
67,866.4884,0.165882658,0,0,0.0295138862,0.0851442814,0,0.0175835565,0,40,0
68,868.0483,0.164937215,0,0,0.0272357613,0.0851181969,0,0.0175058469,0,40,0
69,869.436,0.163976612,0,0,0.0294136666,0.0850915238,0,0.0174795743,0,40,0
70,870.8074,0.163007579,0,0,0.0271708556,0.0850632042,0,0.0174003448,0,40,0
71,872.1624,0.16202512,0,0,0.0296228509,0.0850359723,0,0.0173761025,0,40,0
72,873.5458,0.161031048,0,0,0.0268284008,0.0850088224,0,0.0172896683,0,40,0
73,874.9391,0.160024602,0,0,0.0302865095,0.0849804729,0,0.0172773488,0,40,0
74,876.3558,0.159013185,0,0,0.0259796791,0.0849527493,0,0.0171713978,0,40,0
75,877.8642,0.157993158,0,0,0.0305460878,0.0849245414,0,0.0171926152,0,40,0
76,879.2896,0.156963958,0.000796396285,3.92008928e-07,0.0242036041,0.08489573,0,0.0170430243,0,40,1
77,880.9795,0.155981053,0,0,0.0305426456,0.0848674923,0,0.0171583444,0,40,0
78,882.6547,0.154932977,0.00372011587,1.83114696e-06,0.0212798845,0.0848378837,0,0.016906511,0,40,1
79,884.033,0.154183261,0,0,0.0305356495,0.084808901,0,0.0172994751,0,40,0
80,885.4063,0.15286536,0.0056911055,2.80132417e-06,0.0193088949,0.0847795755,0,0.016780803,0,40,1
81,886.7952,0.152493379,0,0,0.0305311587,0.0847520903,0,0.0175291952,0,40,0
82,888.1702,0.150771897,0.00733652711,3.61124762e-06,0.0176634733,0.0847197324,0,0.0166565739,0,40,1
83,890.0646,0.150186194,0,0,0.0305261072,0.0847069696,0,0.0169787295,0,40,0
84,891.4365,0.149326277,0,0,0.0295132101,0.0846907571,0,0.0166848656,0,40,0
85,892.8052,0.148747465,0,0,0.0275983289,0.0846730843,0,0.0166282784,0,40,0
86,894.2319,0.148157487,0,0,0.0287331771,0.0846578032,0,0.0166089423,0,40,0
87,895.6488,0.147556385,0,0,0.0279248171,0.0846417248,0,0.0165657103,0,40,0
88,897.1829,0.14694746,0,0,0.0285164472,0.0846246555,0,0.0165386237,0,40,0
