iteration,elapsed_ms,energy,max_violation,avg_violation,min_phi,rms_offset,rms_normal,rms_landmark,rms_guide,max_control,num_violating
63,1254.2192,0.0913231273,0,0,0.265674531,0,0,0,0.844632924,1.13623142,0
64,1267.811,0.0876435609,0,0,0.262891531,0,0,0,0.828326344,1.11201966,0
65,1281.2369,0.0841202333,0,0,0.260259897,0,0,0,0.812372029,1.0883559,0
66,1294.7195,0.0807461207,0,0,0.255739391,0,0,0,0.796761572,1.06522715,0
67,1308.2059,0.0775145511,0,0,0.251069486,0,0,0,0.78148675,1.04262066,0
68,1321.8316,0.0744191695,0,0,0.246769428,0,0,0,0.766539693,1.02052402,0
69,1335.3535,0.0714539264,0,0,0.242844418,0,0,0,0.751912594,0.998925149,0
70,1349.7155,0.068613062,0,0,0.239287138,0,0,0,0.737597942,0.97781235,0
71,1363.383,0.0658910765,0,0,0.236013353,0,0,0,0.723588407,0.957174122,0
72,1377.4675,0.063282754,0,0,0.233070806,0,0,0,0.709876835,0.936999381,0
73,1390.9683,0.0607830947,0,0,0.230117425,0,0,0,0.696456373,0.917277217,0
74,1404.6157,0.0583873512,0,0,0.226376861,0,0,0,0.683320105,0.897997022,0
75,1418.43,0.0560909908,0,0,0.221177191,0,0,0,0.670461535,0.879148483,0
76,1431.9737,0.053889683,0,0,0.216224104,0,0,0,0.657874167,0.860721529,0
77,1445.7943,0.0517793058,0,0,0.211520329,0,0,0,0.645551741,0.842706323,0
78,1459.486,0.0497559197,0,0,0.207063422,0,0,0,0.633488178,0.825093269,0
79,1473.6127,0.0478157726,0,0,0.202851236,0,0,0,0.621677458,0.80787307,0
80,1487.1919,0.0459552721,0,0,0.19884035,0,0,0,0.610113859,0.791036665,0
81,1500.7352,0.0441709946,0,0,0.193828076,0,0,0,0.598791599,0.774574995,0
82,1514.331,0.0424596742,0,0,0.188490376,0,0,0,0.587705195,0.758479476,0
83,1528.4218,0.0408181873,0,0,0.183380812,0,0,0,0.576849341,0.742741764,0
84,1542.0012,0.0392435529,0,0,0.178494141,0,0,0,0.566218734,0.727416039,0
85,1555.4929,0.0377329223,0,0,0.173335493,0,0,0,0.555808187,0.713912547,0
86,1569.096,0.0362835772,0,0,0.167177334,0,0,0,0.545612752,0.700690806,0
87,1582.6587,0.0348929217,0,0,0.161185741,0,0,0,0.535627604,0.687744379,0
88,1596.5967,0.0335584864,0,0,0.155399233,0,0,0,0.525848031,0.675067067,0
89,1610.3886,0.0322779243,0,0,0.149955884,0,0,0,0.516269386,0.662652731,0
90,1623.9438,0.0310490249,0,0,0.143385261,0,0,0,0.506887436,0.650495529,0
91,1637.4909,0.0298697627,0,0,0.136881873,0,0,0,0.497698158,0.638589859,0
92,1651.1301,0.0287383701,0,0,0.130669534,0,0,0,0.488698334,0.626930714,0
93,1665.1211,0.0276535231,0,0,0.122370593,0,0,0,0.479886085,0.615513861,0
94,1679.0157,0.0266147909,0,0,0.11383868,0,0,0,0.471262455,0.604337037,0
95,1692.6576,0.0256234802,0,0,0.105555661,0,0,0,0.462834954,0.593402326,0
96,1706.2481,0.0246843189,0,0,0.0975639001,0,0,0,0.454624385,0.58272028,0
97,1719.9193,0.0238082356,0,0,0.089987956,0,0,0,0.446678251,0.572318077,0
98,1733.5393,0.0230155132,0,0,0.0830301195,0,0,0,0.439092666,0.562251508,0
99,1747.004,0.022334891,0,0,0.0770123377,0,0,0,0.432036549,0.552616119,0
100,1761.2188,0.0217899788,0,0,0.0722199678,0,0,0,0.42574656,0.543541551,0
101,1775.1004,0.0213778262,0,0,0.0687911585,0,0,0,0.42043215,0.537013233,0
102,1788.6183,0.0210708559,0,0,0.0665534511,0,0,0,0.416121751,0.535109878,0
103,1802.3216,0.0208428104,0,0,0.0651218742,0,0,0,0.412654638,0.534303546,0
104,1816.1627,0.0206742508,0,0,0.0641814545,0,0,0,0.409855455,0.533864796,0
105,1829.7679,0.0205498254,0,0,0.0635191873,0,0,0,0.407595277,0.533555806,0
106,1843.672,0.020457947,0,0,0.063052848,0,0,0,0.405770332,0.533317566,0
107,1857.4953,0.0203900337,0,0,0.0627176091,0,0,0,0.404294342,0.533134103,0
108,1871.7879,0.0201540442,0,0,0.0562365875,0,0,0,0.394518822,0.53009814,0
109,1879.3552,0.0200345895,0,0,0.0627716556,0,0,0,0.398466498,0.529036701,0
110,1886.7981,0.0199972086,0,0,0.0591683649,0,0,0,0.395338684,0.525533438,0
